iteration_time,throughput(MBs),iteration
50.0,5.0,
55.01798629760742,7.3778076171875,16.0
55.072792053222656,7.5989990234375,17.0
55.41197657585144,8.707061767578125,19.0
60.053590059280396,8.073806762695312,34.0
60.113633155822754,8.224151611328125,35.0
60.438310623168945,7.793701171875,37.0
65.0825731754303,8.789230346679688,52.0
65.16513228416443,8.70556640625,53.0
65.48637700080872,8.436676025390625,55.0
70.24324154853821,8.355255126953125,70.0
70.56759238243103,8.758270263671875,71.0
70.62771940231323,8.431488037109375,73.0
75.63294422626495,8.894699096679688,89.0
75.69017553329468,8.871200561523438,90.0
75.81610345840454,7.964324951171875,91.0
80.78951466083527,8.734115600585938,108.0
80.96870601177216,8.515419006347656,109.0
86.0950220823288,7.7695159912109375,126.0
86.00926721096039,7.927764892578125,127.0
91.11481368541718,8.207504272460938,144.0
91.02063763141632,8.392868041992188,145.0
96.14266896247864,8.584259033203125,162.0
96.12489235401154,8.484893798828125,163.0
101.2798240184784,7.8806610107421875,180.0
101.52261555194855,8.066314697265625,181.0
106.33867704868317,8.173095703125,198.0
106.67576861381531,8.204452514648438,200.0
111.53137493133545,7.425704956054688,216.0
112.04099118709564,8.15533447265625,219.0
116.6829125881195,9.1849365234375,235.0
117.19487774372101,9.297241210937502,238.0
121.97529995441437,7.6143951416015625,254.0
122.31616044044495,7.0981903076171875,256.0
127.11712491512299,8.148971557617188,273.0
127.46927893161774,8.36944580078125,275.0
132.24243652820587,7.6775054931640625,291.0
132.7619218826294,8.257598876953125,294.0
137.3350225687027,8.014572143554688,309.0
137.85870587825775,8.150115966796875,312.0
142.406862616539,8.118072509765625,328.0
143.21256613731384,7.9091949462890625,331.0
147.57078337669373,7.474029541015625,346.0
148.2938506603241,8.291259765625,350.0
152.684055685997,8.689315795898438,364.0
153.39579570293427,8.405166625976562,368.0
157.74144387245178,8.5782470703125,382.0
158.67359685897827,8.314559936523438,386.0
162.74504697322845,8.495864868164062,400.0
163.71171176433563,8.295516967773438,404.0
167.8010971546173,7.7486572265625,418.0
168.90093612670898,7.78875732421875,423.0
172.85133028030396,6.5749053955078125,436.0
174.00214552879333,6.9788360595703125,441.0
177.99323749542236,7.62713623046875,455.0
179.14202857017517,7.7928619384765625,460.0
183.1029634475708,8.095199584960938,473.0
184.28175449371338,8.478378295898438,478.0
188.28410351276398,7.8134613037109375,491.0
189.40722060203552,8.007003784179688,496.0
193.44684958457947,8.261322021484375,509.0
194.59485125541687,8.354156494140625,514.0
198.54718840122223,8.623764038085938,528.0
199.6947798728943,7.958343505859375,533.0
203.96408605575562,7.872161865234375,546.0
205.04980194568634,8.144134521484375,551.0
209.0017193555832,8.139816284179688,565.0
210.1014357805252,7.835906982421874,570.0
214.35960388183594,8.180404663085938,584.0
215.18034148216248,8.420745849609375,588.0
219.42388105392456,8.184051513671875,602.0
220.3746476173401,7.7517852783203125,606.0
224.4570460319519,7.936309814453124,620.0
225.4053784608841,7.967315673828126,624.0
229.46428036689758,8.352798461914062,638.0
230.47466683387756,8.351531982421875,642.0
234.81584882736206,7.701751708984375,656.0
235.54599845409393,7.9868316650390625,660.0
239.94700407981873,7.567047119140624,675.0
240.90061450004578,7.4888916015625,679.0
245.04891061782837,8.315826416015625,693.0
245.97208428382874,8.38238525390625,697.0
250.29062032699585,8.428146362304688,711.0
251.39984107017517,8.872482299804688,716.0
255.45476984977722,7.777389526367187,730.0
256.58092868328094,7.908416748046876,735.0
260.86122500896454,8.817520141601562,749.0
262.0133867263794,8.69403076171875,754.0
265.9191423654556,8.155715942382812,767.0
267.09079372882843,8.284088134765625,772.0
271.32182466983795,8.642562866210938,786.0
272.46222937107086,8.641845703125,791.0
276.42358362674713,8.875152587890625,805.0
277.5991997718811,8.708450317382812,810.0
281.85482466220856,8.560867309570312,824.0
282.96108973026276,8.376022338867188,829.0
286.9425936937332,8.32745361328125,843.0
288.0651558637619,8.254425048828125,848.0
292.2334635257721,8.246124267578125,861.0
293.4672796726227,8.766830444335938,866.0
297.2450202703476,8.469146728515625,879.0
298.49854612350464,8.453475952148438,884.0
302.3211022615433,8.560287475585938,897.0
